Module,Framework,Iteration,Status,Time_Sec,RAM_MB
FIND_IN_SORTED,PITest,13,success,2.94,300.80
FIND_IN_SORTED,Major,14,success,3.28,299.62
FIND_IN_SORTED,PITest,14,success,2.83,318.30
FIND_IN_SORTED,Major,15,success,3.27,300.97
FIND_IN_SORTED,PITest,15,success,2.97,311.31
FIND_IN_SORTED,Major,16,success,3.27,282.06
FIND_IN_SORTED,PITest,16,success,2.88,309.86
FIND_IN_SORTED,Major,17,success,3.27,279.50
FIND_IN_SORTED,PITest,17,success,2.92,316.70
FIND_IN_SORTED,Major,18,success,3.25,295.17
FIND_IN_SORTED,PITest,18,success,2.83,310.27
FIND_IN_SORTED,Major,19,success,3.25,302.64
FIND_IN_SORTED,PITest,19,success,2.90,310.02
FIND_IN_SORTED,Major,20,success,3.27,298.66
FIND_IN_SORTED,PITest,20,success,2.95,309.73
FIND_IN_SORTED,Major,21,success,3.28,288.59
FIND_IN_SORTED,PITest,21,success,2.84,307.45
FIND_IN_SORTED,Major,22,success,3.23,288.19
FIND_IN_SORTED,PITest,22,success,2.93,308.81
FIND_IN_SORTED,Major,23,success,3.26,317.14
FIND_IN_SORTED,PITest,23,success,2.94,315.17
FIND_IN_SORTED,Major,24,success,3.27,299.14
FIND_IN_SORTED,PITest,24,success,2.94,318.53
FIND_IN_SORTED,Major,25,success,3.16,315.16
FIND_IN_SORTED,PITest,25,success,2.92,297.56
FIND_IN_SORTED,Major,26,success,3.28,289.98
FIND_IN_SORTED,PITest,26,success,2.90,312.25
FIND_IN_SORTED,Major,27,success,3.25,291.59
FIND_IN_SORTED,PITest,27,success,2.94,311.36
FIND_IN_SORTED,Major,28,success,3.15,300.34
FIND_IN_SORTED,PITest,28,success,3.06,306.41
FIND_IN_SORTED,Major,29,success,3.35,272.78
FIND_IN_SORTED,PITest,29,success,2.89,308.22
FIND_IN_SORTED,Major,30,success,3.37,294.55
FIND_IN_SORTED,PITest,30,success,2.87,314.27
LIS,Major,1,success,3.24,292.83
LIS,PITest,1,success,2.93,317.38
LIS,Major,2,success,3.37,307.70
LIS,PITest,2,success,2.91,319.55
LIS,Major,3,success,3.38,312.00
LIS,PITest,3,success,2.93,323.03
LIS,Major,4,success,3.22,303.94
LIS,PITest,4,success,2.95,319.67
LIS,Major,5,success,3.25,304.77
LIS,PITest,5,success,2.92,314.12
LIS,Major,6,success,3.27,324.33
LIS,PITest,6,success,2.93,316.84
LIS,Major,7,success,3.26,332.11
LIS,PITest,7,success,3.01,295.69
LIS,Major,8,success,3.24,296.59
LIS,PITest,8,success,2.92,306.59
LIS,Major,9,success,3.25,310.30
LIS,PITest,9,success,2.91,287.41
LIS,Major,10,success,3.26,325.80
LIS,PITest,10,success,2.91,316.83
LIS,Major,11,success,3.25,293.86
LIS,PITest,11,success,2.92,309.02
LIS,Major,12,success,3.56,312.58
LIS,PITest,12,success,2.87,320.75
LIS,Major,13,success,3.24,319.09
LIS,PITest,13,success,2.93,325.19
LIS,Major,14,success,3.27,328.44
LIS,PITest,14,success,3.04,310.98
LIS,Major,15,success,3.26,323.97
LIS,PITest,15,success,2.93,319.69
LIS,Major,16,success,3.39,316.53
LIS,PITest,16,success,2.92,317.58
LIS,Major,17,success,3.38,303.02
LIS,PITest,17,success,2.84,306.92
LIS,Major,18,success,3.48,299.75
LIS,PITest,18,success,3.04,297.45
LIS,Major,19,success,3.26,310.69
LIS,PITest,19,success,2.94,320.27
LIS,Major,20,success,3.34,294.28
LIS,PITest,20,success,2.97,317.36
LIS,Major,21,success,3.25,317.34
LIS,PITest,21,success,2.92,322.23
LIS,Major,22,success,3.15,303.45
LIS,PITest,22,success,2.91,319.75
LIS,Major,23,success,3.30,309.61
LIS,PITest,23,success,2.94,330.66
LIS,Major,24,success,3.27,306.92
LIS,PITest,24,success,3.03,321.58
LIS,Major,25,success,3.60,294.86
LIS,PITest,25,success,2.94,323.56
LIS,Major,26,success,3.27,320.89
LIS,PITest,26,success,3.01,304.09
LIS,Major,27,success,3.28,267.81
LIS,PITest,27,success,2.91,283.11
LIS,Major,28,success,3.36,296.89
LIS,PITest,28,success,2.92,327.27
LIS,Major,29,success,3.23,323.03
LIS,PITest,29,success,2.94,317.25
LIS,Major,30,success,3.26,322.73
LIS,PITest,30,success,2.91,323.94
POSSIBLE_CHANGE,Major,1,success,3.41,333.70
POSSIBLE_CHANGE,PITest,1,success,2.82,316.45
POSSIBLE_CHANGE,Major,2,success,3.39,295.06
POSSIBLE_CHANGE,PITest,2,success,2.83,320.91
POSSIBLE_CHANGE,Major,3,success,3.37,334.94
POSSIBLE_CHANGE,PITest,3,success,2.70,311.44
POSSIBLE_CHANGE,Major,4,success,3.40,314.59
POSSIBLE_CHANGE,PITest,4,success,2.80,310.22
POSSIBLE_CHANGE,Major,5,success,3.35,315.22
POSSIBLE_CHANGE,PITest,5,success,4.46,222.05
POSSIBLE_CHANGE,Major,6,success,4.12,242.27
POSSIBLE_CHANGE,PITest,6,success,2.89,303.28
POSSIBLE_CHANGE,Major,7,success,3.36,330.89
POSSIBLE_CHANGE,PITest,7,success,3.25,306.23
POSSIBLE_CHANGE,Major,8,success,3.41,311.58
POSSIBLE_CHANGE,PITest,8,success,2.81,301.30
POSSIBLE_CHANGE,Major,9,success,3.39,313.38
POSSIBLE_CHANGE,PITest,9,success,2.77,310.62
POSSIBLE_CHANGE,Major,10,success,4.08,274.17
POSSIBLE_CHANGE,PITest,10,success,2.82,309.20
POSSIBLE_CHANGE,Major,11,success,3.28,331.50
POSSIBLE_CHANGE,PITest,11,success,2.73,307.86
POSSIBLE_CHANGE,Major,12,success,3.35,319.14
POSSIBLE_CHANGE,PITest,12,success,3.38,304.98
POSSIBLE_CHANGE,Major,13,success,3.15,321.36
POSSIBLE_CHANGE,PITest,13,success,2.58,342.38
POSSIBLE_CHANGE,Major,14,success,3.06,343.84
POSSIBLE_CHANGE,PITest,14,success,2.56,315.58
POSSIBLE_CHANGE,Major,15,success,3.57,322.94
POSSIBLE_CHANGE,PITest,15,success,2.53,307.19
POSSIBLE_CHANGE,Major,16,success,3.04,325.59
POSSIBLE_CHANGE,PITest,16,success,2.51,315.33
POSSIBLE_CHANGE,Major,17,success,3.07,325.14
POSSIBLE_CHANGE,PITest,17,success,2.94,250.81
POSSIBLE_CHANGE,Major,18,success,3.33,327.80
POSSIBLE_CHANGE,PITest,18,success,2.59,304.58
POSSIBLE_CHANGE,Major,19,success,3.05,322.97
POSSIBLE_CHANGE,PITest,19,success,2.49,304.14
POSSIBLE_CHANGE,Major,20,success,3.85,254.91
POSSIBLE_CHANGE,PITest,20,success,4.37,271.92
POSSIBLE_CHANGE,Major,21,success,4.15,330.53
POSSIBLE_CHANGE,PITest,21,success,2.61,312.77
POSSIBLE_CHANGE,Major,22,success,3.62,322.78
POSSIBLE_CHANGE,PITest,22,success,2.63,314.55
POSSIBLE_CHANGE,Major,23,success,3.19,316.11
POSSIBLE_CHANGE,PITest,23,success,2.82,331.16
POSSIBLE_CHANGE,Major,24,success,3.06,330.02
POSSIBLE_CHANGE,PITest,24,success,2.71,310.75
POSSIBLE_CHANGE,Major,25,success,3.03,329.72
POSSIBLE_CHANGE,PITest,25,success,2.60,333.48
POSSIBLE_CHANGE,Major,26,success,3.14,361.11
POSSIBLE_CHANGE,PITest,26,success,2.56,309.12
POSSIBLE_CHANGE,Major,27,success,3.18,338.25
POSSIBLE_CHANGE,PITest,27,success,2.62,299.77
POSSIBLE_CHANGE,Major,28,success,3.38,323.23
POSSIBLE_CHANGE,PITest,28,success,2.50,314.48
POSSIBLE_CHANGE,Major,29,success,3.06,344.27
POSSIBLE_CHANGE,PITest,29,success,2.53,309.62
POSSIBLE_CHANGE,Major,30,success,3.42,328.59
POSSIBLE_CHANGE,PITest,30,success,2.50,306.86
LCS_LENGTH,Major,1,success,3.17,302.39
LCS_LENGTH,PITest,1,success,2.94,337.36
LCS_LENGTH,Major,2,success,3.18,327.77
LCS_LENGTH,PITest,2,success,3.27,303.25
LCS_LENGTH,Major,3,success,3.21,302.28
LCS_LENGTH,PITest,3,success,2.93,336.02
LCS_LENGTH,Major,4,success,3.40,312.38
LCS_LENGTH,PITest,4,success,2.94,319.27
LCS_LENGTH,Major,5,success,3.27,312.52
LCS_LENGTH,PITest,5,success,2.96,300.84
LCS_LENGTH,Major,6,success,3.17,317.39
LCS_LENGTH,PITest,6,success,2.93,327.16
LCS_LENGTH,Major,7,success,3.38,277.30
LCS_LENGTH,PITest,7,success,3.06,322.30
LCS_LENGTH,Major,8,success,3.16,330.88
LCS_LENGTH,PITest,8,success,2.94,322.53
LCS_LENGTH,Major,9,success,3.17,319.83
LCS_LENGTH,PITest,9,success,3.27,285.17
LCS_LENGTH,Major,10,success,3.18,332.14
LCS_LENGTH,PITest,10,success,2.95,314.17
LCS_LENGTH,Major,11,success,3.16,343.62
LCS_LENGTH,PITest,11,success,2.99,347.98
LCS_LENGTH,Major,12,success,3.58,299.98
LCS_LENGTH,PITest,12,success,2.98,307.33
LCS_LENGTH,Major,13,success,3.40,323.30
LCS_LENGTH,PITest,13,success,2.97,331.08
LCS_LENGTH,Major,14,success,3.14,327.12
LCS_LENGTH,PITest,14,success,3.28,331.14
LCS_LENGTH,Major,15,success,3.19,320.80
LCS_LENGTH,PITest,15,success,3.04,330.69
LCS_LENGTH,Major,16,success,3.29,334.42
LCS_LENGTH,PITest,16,success,3.04,328.83
LCS_LENGTH,Major,17,success,3.18,335.39
LCS_LENGTH,PITest,17,success,2.96,286.27
LCS_LENGTH,Major,18,success,3.18,337.42
LCS_LENGTH,PITest,18,success,3.17,320.86
LCS_LENGTH,Major,19,success,3.75,312.36
LCS_LENGTH,PITest,19,success,2.95,330.09
LCS_LENGTH,Major,20,success,3.18,326.53
LCS_LENGTH,PITest,20,success,2.95,329.94
LCS_LENGTH,Major,21,success,3.17,319.47
LCS_LENGTH,PITest,21,success,3.32,294.36
LCS_LENGTH,Major,22,success,3.26,326.88
LCS_LENGTH,PITest,22,success,2.93,329.98
LCS_LENGTH,Major,23,success,3.18,327.11
LCS_LENGTH,PITest,23,success,2.92,329.16
LCS_LENGTH,Major,24,success,3.37,322.50
LCS_LENGTH,PITest,24,success,3.09,343.55
LCS_LENGTH,Major,25,success,3.18,340.08
LCS_LENGTH,PITest,25,success,2.95,336.33
LCS_LENGTH,Major,26,success,3.19,328.02
LCS_LENGTH,PITest,26,success,3.27,318.50
LCS_LENGTH,Major,27,success,3.30,336.75
LCS_LENGTH,PITest,27,success,2.96,328.98
LCS_LENGTH,Major,28,success,3.21,330.83
LCS_LENGTH,PITest,28,success,3.41,316.64
LCS_LENGTH,Major,29,success,3.65,273.66
LCS_LENGTH,PITest,29,success,3.39,329.34
LCS_LENGTH,Major,30,success,3.89,326.61
LCS_LENGTH,PITest,30,success,3.44,345.69
KNAPSACK,Major,1,success,24.95,1232.36
KNAPSACK,PITest,1,success,4.22,895.09
KNAPSACK,Major,2,success,25.74,1306.41
KNAPSACK,PITest,2,success,3.99,919.58
KNAPSACK,Major,3,success,25.45,1064.95
KNAPSACK,PITest,3,success,4.51,932.89
KNAPSACK,Major,4,success,25.59,1303.17
KNAPSACK,PITest,4,success,3.86,982.36
KNAPSACK,Major,5,success,25.03,1317.92
KNAPSACK,PITest,5,success,4.04,856.64
KNAPSACK,Major,6,success,25.25,1136.66
KNAPSACK,PITest,6,success,3.99,920.23
KNAPSACK,Major,7,success,24.74,1075.98
KNAPSACK,PITest,7,success,4.55,905.83
KNAPSACK,Major,8,success,24.51,1294.11
KNAPSACK,PITest,8,success,3.97,844.36
KNAPSACK,Major,9,success,24.81,1169.72
KNAPSACK,PITest,9,success,4.36,785.83
KNAPSACK,Major,10,success,24.97,1092.69
KNAPSACK,PITest,10,success,4.19,757.73
KNAPSACK,Major,11,success,24.52,1054.98
KNAPSACK,PITest,11,success,4.08,896.34
KNAPSACK,Major,12,success,24.59,1246.28
KNAPSACK,PITest,12,success,4.30,935.52
KNAPSACK,Major,13,success,24.47,1315.59
KNAPSACK,PITest,13,success,4.49,788.53
KNAPSACK,Major,14,success,24.65,1295.70
KNAPSACK,PITest,14,success,4.45,894.86
KNAPSACK,Major,15,success,24.67,1268.56
KNAPSACK,PITest,15,success,3.90,962.69
KNAPSACK,Major,16,success,24.98,1190.12
KNAPSACK,PITest,16,success,4.09,830.62
KNAPSACK,Major,17,success,24.78,1324.39
KNAPSACK,PITest,17,success,3.99,882.61
KNAPSACK,Major,18,success,24.69,1060.73
KNAPSACK,PITest,18,success,3.99,931.33
KNAPSACK,Major,19,success,24.77,1094.80
KNAPSACK,PITest,19,success,4.10,943.03
KNAPSACK,Major,20,success,24.47,1047.08
KNAPSACK,PITest,20,success,4.17,873.61
KNAPSACK,Major,21,success,25.38,1194.47
KNAPSACK,PITest,21,success,4.19,809.70
KNAPSACK,Major,22,success,24.81,972.41
KNAPSACK,PITest,22,success,4.13,814.31
KNAPSACK,Major,23,success,24.73,1036.48
KNAPSACK,PITest,23,success,4.17,877.02
KNAPSACK,Major,24,success,25.22,905.66
KNAPSACK,PITest,24,success,4.09,850.22
KNAPSACK,Major,25,success,24.34,1473.73
KNAPSACK,PITest,25,success,4.36,952.11
KNAPSACK,Major,26,success,24.36,1469.89
KNAPSACK,PITest,26,success,4.23,948.94
KNAPSACK,Major,27,success,24.58,1395.38
KNAPSACK,PITest,27,success,4.11,886.06
KNAPSACK,Major,28,success,24.58,1343.14
KNAPSACK,PITest,28,success,4.04,975.36
KNAPSACK,Major,29,success,24.60,1333.09
KNAPSACK,PITest,29,success,4.13,940.06
KNAPSACK,Major,30,success,24.57,1345.41
KNAPSACK,PITest,30,success,3.90,966.67
module_1_bst,Major,1,success,3.61,346.25
module_1_bst,PITest,1,success,3.42,304.23
module_1_bst,Major,2,success,3.37,305.61
module_1_bst,PITest,2,success,3.05,324.30
module_1_bst,Major,3,success,3.05,297.03
module_1_bst,PITest,3,success,2.93,314.56
module_1_bst,Major,4,success,3.67,284.98
module_1_bst,PITest,4,success,2.93,314.83
module_1_bst,Major,5,success,3.25,307.33
module_1_bst,PITest,5,success,2.93,311.89
module_1_bst,Major,6,success,3.35,304.77
module_1_bst,PITest,6,success,2.94,325.36
module_1_bst,Major,7,success,3.15,295.22
module_1_bst,PITest,7,success,2.92,314.91
module_1_bst,Major,8,success,3.24,321.64
module_1_bst,PITest,8,success,3.12,305.72
module_1_bst,Major,9,success,3.22,303.14
module_1_bst,PITest,9,success,3.01,320.91
module_1_bst,Major,10,success,3.22,312.06
module_1_bst,PITest,10,success,2.97,335.14
module_1_bst,Major,11,success,3.46,293.59
module_1_bst,PITest,11,success,2.98,316.81
module_1_bst,Major,12,success,3.23,329.62
module_1_bst,PITest,12,success,2.99,315.78
module_1_bst,Major,13,success,3.22,310.34
module_1_bst,PITest,13,success,3.36,302.42
module_1_bst,Major,14,success,3.26,309.03
module_1_bst,PITest,14,success,2.91,314.02
module_1_bst,Major,15,success,3.25,312.05
module_1_bst,PITest,15,success,2.99,340.53
module_1_bst,Major,16,success,3.24,299.27
module_1_bst,PITest,16,success,2.91,316.09
module_1_bst,Major,17,success,3.24,322.88
module_1_bst,PITest,17,success,2.93,330.72
module_1_bst,Major,18,success,3.25,302.34
module_1_bst,PITest,18,success,3.03,318.05
module_1_bst,Major,19,success,3.13,303.38
module_1_bst,PITest,19,success,2.91,332.39
module_1_bst,Major,20,success,3.23,307.67
module_1_bst,PITest,20,success,3.32,322.20
module_1_bst,Major,21,success,3.31,298.20
module_1_bst,PITest,21,success,3.00,315.00
module_1_bst,Major,22,success,3.13,322.33
module_1_bst,PITest,22,success,2.92,333.39
module_1_bst,Major,23,success,3.35,282.06
module_1_bst,PITest,23,success,2.92,301.50
module_1_bst,Major,24,success,3.25,318.50
module_1_bst,PITest,24,success,2.94,335.20
module_1_bst,Major,25,success,3.17,298.45
module_1_bst,PITest,25,success,3.23,300.20
module_1_bst,Major,26,success,3.23,319.23
module_1_bst,PITest,26,success,2.98,338.03
module_1_bst,Major,27,success,3.21,305.53
module_1_bst,PITest,27,success,2.91,307.56
module_1_bst,Major,28,success,3.58,291.03
module_1_bst,PITest,28,success,3.00,338.28
module_1_bst,Major,29,success,3.22,305.14
module_1_bst,PITest,29,success,2.93,315.94
module_1_bst,Major,30,success,3.16,307.62
module_1_bst,PITest,30,success,3.04,310.72
FIND_FIRST_IN_SORTED,Major,1,success,4.61,315.75
FIND_FIRST_IN_SORTED,PITest,1,success,5.92,331.67
FIND_FIRST_IN_SORTED,Major,2,success,4.84,306.09
FIND_FIRST_IN_SORTED,PITest,2,success,5.86,312.45
FIND_FIRST_IN_SORTED,Major,3,success,4.75,334.27
FIND_FIRST_IN_SORTED,PITest,3,success,5.85,300.22
FIND_FIRST_IN_SORTED,Major,4,success,4.65,333.00
FIND_FIRST_IN_SORTED,PITest,4,success,6.07,310.55
FIND_FIRST_IN_SORTED,Major,5,success,4.79,313.67
FIND_FIRST_IN_SORTED,PITest,5,success,5.81,324.84
FIND_FIRST_IN_SORTED,Major,6,success,4.58,320.06
FIND_FIRST_IN_SORTED,PITest,6,success,5.85,304.22
FIND_FIRST_IN_SORTED,Major,7,success,4.70,331.39
FIND_FIRST_IN_SORTED,PITest,7,success,5.90,328.34
FIND_FIRST_IN_SORTED,Major,8,success,4.66,325.34
FIND_FIRST_IN_SORTED,PITest,8,success,5.67,312.03
FIND_FIRST_IN_SORTED,Major,9,success,4.81,266.05
FIND_FIRST_IN_SORTED,PITest,9,success,5.95,314.48
FIND_FIRST_IN_SORTED,Major,10,success,4.68,324.47
FIND_FIRST_IN_SORTED,PITest,10,success,5.92,310.81
FIND_FIRST_IN_SORTED,Major,11,success,4.68,330.06
FIND_FIRST_IN_SORTED,PITest,11,success,5.86,312.02
FIND_FIRST_IN_SORTED,Major,12,success,4.92,325.66
FIND_FIRST_IN_SORTED,PITest,12,success,5.88,311.41
FIND_FIRST_IN_SORTED,Major,13,success,4.58,320.17
FIND_FIRST_IN_SORTED,PITest,13,success,6.05,301.45
FIND_FIRST_IN_SORTED,Major,14,success,4.84,288.28
FIND_FIRST_IN_SORTED,PITest,14,success,6.03,308.42
FIND_FIRST_IN_SORTED,Major,15,success,4.66,327.36
FIND_FIRST_IN_SORTED,PITest,15,success,5.88,317.73
FIND_FIRST_IN_SORTED,Major,16,success,4.80,297.17
FIND_FIRST_IN_SORTED,PITest,16,success,5.67,312.25
FIND_FIRST_IN_SORTED,Major,17,success,4.63,329.62
FIND_FIRST_IN_SORTED,PITest,17,success,5.89,310.70
FIND_FIRST_IN_SORTED,Major,18,success,4.62,316.28
FIND_FIRST_IN_SORTED,PITest,18,success,5.68,315.31
FIND_FIRST_IN_SORTED,Major,19,success,4.92,314.42
FIND_FIRST_IN_SORTED,PITest,19,success,5.84,313.52
FIND_FIRST_IN_SORTED,Major,20,success,4.65,318.16
FIND_FIRST_IN_SORTED,PITest,20,success,6.03,279.31
FIND_FIRST_IN_SORTED,Major,21,success,4.61,324.94
FIND_FIRST_IN_SORTED,PITest,21,success,5.82,309.92
FIND_FIRST_IN_SORTED,Major,22,success,4.81,318.73
FIND_FIRST_IN_SORTED,PITest,22,success,5.81,312.22
FIND_FIRST_IN_SORTED,Major,23,success,4.63,320.19
FIND_FIRST_IN_SORTED,PITest,23,success,6.01,282.05
FIND_FIRST_IN_SORTED,Major,24,success,4.76,324.09
FIND_FIRST_IN_SORTED,PITest,24,success,5.88,319.33
FIND_FIRST_IN_SORTED,Major,25,success,4.73,315.67
FIND_FIRST_IN_SORTED,PITest,25,success,5.86,312.70
FIND_FIRST_IN_SORTED,Major,26,success,4.79,292.73
FIND_FIRST_IN_SORTED,PITest,26,success,5.94,316.72
FIND_FIRST_IN_SORTED,Major,27,success,4.61,325.66
FIND_FIRST_IN_SORTED,PITest,27,success,5.70,310.83
FIND_FIRST_IN_SORTED,Major,28,success,4.72,326.22
FIND_FIRST_IN_SORTED,PITest,28,success,5.87,310.55
FIND_FIRST_IN_SORTED,Major,29,success,4.89,287.92
FIND_FIRST_IN_SORTED,PITest,29,success,5.82,315.03
FIND_FIRST_IN_SORTED,Major,30,success,4.70,327.92
FIND_FIRST_IN_SORTED,PITest,30,success,5.97,304.16
POWERSET,Major,1,success,3.11,293.48
POWERSET,PITest,1,success,2.43,309.88
POWERSET,Major,2,success,3.11,268.97
POWERSET,PITest,2,success,2.79,283.78
POWERSET,Major,3,success,3.10,292.45
POWERSET,PITest,3,success,2.55,288.50
POWERSET,Major,4,success,3.10,286.77
POWERSET,PITest,4,success,2.57,326.11
POWERSET,Major,5,success,3.75,259.73
POWERSET,PITest,5,success,2.43,329.75
POWERSET,Major,6,success,2.99,280.44
POWERSET,PITest,6,success,2.43,315.83
POWERSET,Major,7,success,3.16,296.58
POWERSET,PITest,7,success,2.43,311.44
POWERSET,Major,8,success,3.21,282.92
POWERSET,PITest,8,success,2.47,310.91
POWERSET,Major,9,success,3.02,282.39
POWERSET,PITest,9,success,2.45,307.58
POWERSET,Major,10,success,3.03,293.11
POWERSET,PITest,10,success,2.73,291.09
POWERSET,Major,11,success,3.08,284.77
POWERSET,PITest,11,success,2.53,299.06
POWERSET,Major,12,success,2.98,291.81
POWERSET,PITest,12,success,2.43,306.81
POWERSET,Major,13,success,3.23,265.23
POWERSET,PITest,13,success,2.55,299.88
POWERSET,Major,14,success,3.04,281.86
POWERSET,PITest,14,success,2.44,312.91
POWERSET,Major,15,success,2.98,297.48
POWERSET,PITest,15,success,2.42,335.02
POWERSET,Major,16,success,3.25,295.53
POWERSET,PITest,16,success,2.48,336.27
POWERSET,Major,17,success,3.03,305.92
POWERSET,PITest,17,success,2.35,313.61
POWERSET,Major,18,success,3.02,306.83
POWERSET,PITest,18,success,2.57,266.59
POWERSET,Major,19,success,3.01,287.58
POWERSET,PITest,19,success,2.46,282.14
POWERSET,Major,20,success,3.02,288.53
POWERSET,PITest,20,success,2.45,313.78
POWERSET,Major,21,success,2.92,296.19
POWERSET,PITest,21,success,2.68,298.27
POWERSET,Major,22,success,3.13,290.22
POWERSET,PITest,22,success,2.48,320.44
POWERSET,Major,23,success,3.13,286.22
POWERSET,PITest,23,success,2.47,311.59
POWERSET,Major,24,success,3.32,258.22
POWERSET,PITest,24,success,2.46,313.03
POWERSET,Major,25,success,3.03,281.20
POWERSET,PITest,25,success,2.38,313.03
POWERSET,Major,26,success,3.04,283.70
POWERSET,PITest,26,success,2.36,315.97
POWERSET,Major,27,success,3.25,302.97
POWERSET,PITest,27,success,2.47,316.62
POWERSET,Major,28,success,2.92,295.50
POWERSET,PITest,28,success,2.36,314.25
POWERSET,Major,29,success,3.03,283.39
POWERSET,PITest,29,success,2.66,276.38
POWERSET,Major,30,success,3.02,278.12
POWERSET,PITest,30,success,2.46,292.41
module_6_LRUCache,Major,1,success,3.24,308.12
module_6_LRUCache,PITest,1,success,2.79,312.50
module_6_LRUCache,Major,2,success,3.86,258.23
module_6_LRUCache,PITest,2,success,2.97,309.36
module_6_LRUCache,Major,3,success,3.30,297.72
module_6_LRUCache,PITest,3,success,2.87,311.55
module_6_LRUCache,Major,4,success,3.31,320.05
module_6_LRUCache,PITest,4,success,3.21,294.83
module_6_LRUCache,Major,5,success,3.34,284.88
module_6_LRUCache,PITest,5,success,2.90,338.19
module_6_LRUCache,Major,6,success,3.20,317.48
module_6_LRUCache,PITest,6,success,2.99,303.20
module_6_LRUCache,Major,7,success,3.54,314.81
module_6_LRUCache,PITest,7,success,2.88,296.94
module_6_LRUCache,Major,8,success,3.25,320.11
module_6_LRUCache,PITest,8,success,2.88,316.12
module_6_LRUCache,Major,9,success,3.49,273.80
module_6_LRUCache,PITest,9,success,2.89,319.62
module_6_LRUCache,Major,10,success,3.33,304.72
